Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
22.300,0.838,-0.28,0.0
22.350,0.824,-0.28,0.0
22.400,0.810,-0.28,0.0
22.450,0.796,-0.28,0.0
22.500,0.782,-0.28,0.0
22.550,0.768,-0.28,0.0
22.600,0.754,-0.28,0.0
22.650,0.739,-0.28,0.0
22.700,0.725,-0.29,0.0
22.750,0.711,-0.29,0.0
22.800,0.697,-0.29,0.0
22.850,0.682,-0.29,0.0
22.900,0.668,-0.29,-2.2E-4
22.950,0.653,-0.29,0.0
23.000,0.639,-0.29,0.0
23.050,0.625,-0.29,0.0
23.100,0.611,-0.29,0.0
23.150,0.596,-0.29,0.0
23.200,0.582,-0.29,0.0
23.250,0.568,-0.29,0.0
23.300,0.553,-0.28,0.0
23.350,0.539,-0.28,0.0
23.400,0.525,-0.28,0.0
23.450,0.511,-0.28,0.0
23.500,0.497,-0.28,-0.1
23.550,0.483,-0.29,-0.1
23.600,0.469,-0.29,0.0
23.650,0.453,-0.29,0.1
23.700,0.439,-0.28,0.1
23.750,0.427,-0.27,0.1
23.800,0.411,-0.27,0.1
23.850,0.400,-0.26,0.0
23.900,0.386,-0.26,0.0
23.950,0.373,-0.27,0.0
24.000,0.359,-0.27,0.0
24.050,0.346,-0.27,0.0
24.100,0.333,-0.27,0.0
24.150,0.320,-0.27,0.0
24.200,0.306,-0.27,0.0
24.250,0.292,-0.27,0.1
24.300,0.279,-0.26,0.3
24.350,0.266,-0.25,0.7
24.400,0.253,-0.21,1.5
24.450,0.243,-0.11,2.2
24.500,0.240,0.04,2.3
24.550,0.247,0.16,1.8
24.600,0.259,0.23,1.0
24.650,0.271,0.24,0.4
24.700,0.283,0.25,0.2
24.750,0.296,0.26,0.0
24.800,0.310,0.26,-0.1
24.850,0.322,0.25,-0.1
24.900,0.334,0.24,-0.1
24.950,0.347,0.24,0.0
25.000,0.359,0.24,4.1E-4
25.050,0.371,0.24,0.0
25.100,0.383,0.24,-0.1
25.150,0.396,0.24,-0.1
25.200,0.408,0.23,0.0
25.250,0.419,0.24,0.1
25.300,0.430,0.24,0.1
25.350,0.444,0.25,0.1
25.400,0.455,0.25,0.0
25.450,0.468,0.25,0.0
25.500,0.481,0.25,0.0
25.550,0.493,0.24,0.0
25.600,0.505,0.24,0.0
25.650,0.517,0.24,0.0
25.700,0.529,0.24,0.0
25.750,0.541,0.24,0.0
25.800,0.553,0.24,0.0
25.850,0.565,0.24,0.0
25.900,0.577,0.24,0.0
25.950,0.589,0.24,0.0
26.000,0.601,0.24,0.0
26.050,0.612,0.24,0.0
26.100,0.624,0.24,0.0
26.150,0.636,0.24,0.0
26.200,0.648,0.24,0.0
26.250,0.659,0.24,1.6E-4
26.300,0.671,0.24,0.0
26.350,0.683,0.24,0.0
26.400,0.695,0.23,0.0
26.450,0.707,0.23,0.0
26.500,0.718,0.23,0.0
26.550,0.730,0.23,0.0
26.600,0.742,0.23,0.0
26.650,0.754,0.23,0.0
26.700,0.765,0.23,0.0
26.750,0.777,0.23,0.0
26.800,0.789,0.23,0.0
26.850,0.800,0.23,0.0
26.900,0.812,0.23,0.0
26.950,0.823,0.23,0.0
27.000,0.835,0.23,0.0
27.050,0.846,0.23,0.0
27.100,0.858,0.23,0.0
27.150,0.870,0.23,0.0
27.200,0.881,0.23,0.0
27.250,0.893,0.23,0.0
27.300,0.904,0.23,0.0
27.350,0.916,0.23,0.0
27.400,0.927,0.23,0.0
27.450,0.939,0.23,0.0
27.500,0.950,0.23,0.0
27.550,0.961,0.23,0.0
27.600,0.973,0.23,0.0
27.650,0.984,0.23,0.0
27.700,0.996,0.23,0.0
27.750,1.007,0.23,0.0
27.800,1.018,0.22,0.0
27.850,1.030,0.22,0.0
27.900,1.041,0.22,0.0
27.950,1.052,0.22,0.0
28.000,1.063,0.22,0.0
28.050,1.074,0.22,0.0
28.100,1.085,0.22,0.0
28.150,1.096,0.22,0.0
28.200,1.106,0.21,0.0
28.250,1.117,0.21,0.0
28.300,1.128,0.21,0.0
28.350,1.138,0.21,0.0
28.400,1.149,0.21,0.0
28.450,1.159,0.21,0.0
28.500,1.170,0.21,0.0
28.550,1.180,0.21,0.0
28.600,1.191,0.21,0.0
28.650,1.201,0.21,0.0
28.700,1.211,0.21,0.0
28.750,1.221,0.21,0.0
28.800,1.232,0.21,0.0
28.850,1.242,0.20,0.0
28.900,1.252,0.20,0.0
28.950,1.262,0.20,0.0
29.000,1.272,0.20,0.0
29.050,1.282,0.20,0.0
29.100,1.292,0.20,0.0
29.150,1.302,0.20,0.0
29.200,1.312,0.20,0.0
29.250,1.322,0.20,0.0
29.300,1.332,0.20,0.0
29.350,1.341,0.20,0.0
29.400,1.352,0.20,0.0
29.450,1.362,0.20,0.0
29.500,1.372,0.20,0.0
29.550,1.381,0.20,0.0
29.600,1.391,0.20,0.0
29.650,1.401,0.20,0.0
29.700,1.411,0.20,0.0
29.750,1.421,0.20,0.0
29.800,1.431,0.20,0.0
29.850,1.440,0.19,0.0
29.900,1.450,0.19,0.0
29.950,1.460,0.19,0.0
30.000,1.469,0.19,0.0
30.050,1.479,0.19,0.0
30.100,1.488,0.19,0.0
30.150,1.498,0.19,0.1
30.200,1.508,0.20,0.1
30.250,1.518,0.21,0.0
30.300,1.529,0.20,-0.1
30.350,1.539,0.19,-0.1
30.400,1.547,0.19,0.0
30.450,1.558,0.19,0.1
30.500,1.566,0.20,0.0
30.550,1.577,0.20,-0.1
30.600,1.586,0.19,-0.1
30.650,1.596,0.18,0.0
30.700,1.604,0.19,0.0
30.750,1.615,0.19,0.0
30.800,1.624,0.19,-0.1
30.850,1.634,0.18,-0.1
30.900,1.643,0.18,0.0
30.950,1.650,0.18,0.0
31.000,1.661,0.18,0.0
31.050,1.671,0.18,0.0
31.100,1.677,0.17,0.0
31.150,1.688,0.18,0.0
31.200,1.697,0.19,0.0
31.250,1.706,0.18,-0.1
31.300,1.715,0.17,-0.1
31.350,1.723,0.17,0.0
31.400,1.732,0.17,0.0
31.450,1.740,0.17,0.0
31.500,1.748,0.17,0.0
31.550,1.757,0.17,0.0
31.600,1.765,0.17,-0.1
31.650,1.774,0.16,-0.1
31.700,1.781,0.15,0.0
31.750,1.788,0.16,0.0
31.800,1.797,0.16,0.0
31.850,1.805,0.16,-0.1
31.900,1.813,0.15,-0.1
31.950,1.820,0.15,0.0
32.000,1.827,0.15,0.0
32.050,1.835,0.15,0.0
32.100,1.842,0.15,0.0
32.150,1.849,0.14,-0.1
32.200,1.856,0.14,0.0
32.250,1.863,0.14,0.0
32.300,1.870,0.14,0.0
32.350,1.877,0.14,0.0
32.400,1.883,0.14,-0.1
32.450,1.893,0.13,-0.1
32.500,1.896,0.13,0.0
32.550,1.903,0.13,0.0
32.600,1.912,0.13,0.0
32.650,1.915,0.13,-0.1
32.700,1.923,0.12,-0.1
32.750,1.929,0.12,-0.1
32.800,1.933,0.11,-0.1
32.850,1.941,0.11,-0.1
32.900,1.944,0.11,0.0
32.950,1.950,0.10,0.1
33.000,1.955,0.12,0.2
33.050,1.961,0.13,0.1
33.100,1.969,0.13,-0.2
33.150,1.975,0.11,-0.4
33.200,1.980,0.09,-0.6
33.250,1.984,0.06,-0.7
33.300,1.986,0.02,-0.8
33.350,1.986,-0.03,-0.8
33.400,1.983,-0.07,-0.6
33.450,1.977,-0.10,-0.3
33.500,1.973,-0.10,-0.1
33.550,1.967,-0.10,0.0
33.600,1.962,-0.11,0.0
33.650,1.957,-0.11,0.0
33.700,1.952,-0.11,0.0
33.750,1.946,-0.11,0.0
33.800,1.941,-0.11,0.0
33.850,1.935,-0.11,0.0
33.900,1.929,-0.11,0.0
33.950,1.924,-0.11,0.0
34.000,1.918,-0.11,0.0
34.050,1.913,-0.11,0.0
34.100,1.907,-0.11,0.0
34.150,1.902,-0.10,0.0
34.200,1.896,-0.11,-0.1
34.250,1.892,-0.12,-0.1
34.300,1.884,-0.13,-0.1
34.350,1.878,-0.13,0.0
34.400,1.873,-0.12,0.0
34.450,1.866,-0.12,0.0
34.500,1.860,-0.12,0.0
34.550,1.854,-0.12,0.0
34.600,1.848,-0.13,-0.1
34.650,1.841,-0.13,-0.1
34.700,1.835,-0.13,0.0
34.750,1.829,-0.13,0.1
34.800,1.821,-0.12,0.1
34.850,1.817,-0.12,0.0
34.900,1.810,-0.12,-0.1
34.950,1.804,-0.13,0.0
35.000,1.798,-0.13,0.0
35.050,1.790,-0.12,0.0
35.100,1.784,-0.12,0.0
35.150,1.781,-0.13,-0.1
35.200,1.772,-0.13,-0.1
35.250,1.765,-0.13,-0.1
35.300,1.761,-0.14,-0.1
35.350,1.751,-0.14,0.0
35.400,1.745,-0.14,0.0
35.450,1.738,-0.14,0.0
35.500,1.731,-0.14,0.0
35.550,1.722,-0.14,0.1
35.600,1.718,-0.13,0.0
35.650,1.710,-0.13,9.5E-4
35.700,1.703,-0.14,0.0
35.750,1.697,-0.13,-0.1
35.800,1.690,-0.14,-0.1
35.850,1.683,-0.15,-0.1
35.900,1.675,-0.15,-0.1
35.950,1.668,-0.16,0.0
36.000,1.660,-0.16,0.1
36.050,1.651,-0.15,0.1
36.100,1.645,-0.14,0.0
36.150,1.639,-0.15,0.1
36.200,1.630,-0.15,
36.250,1.622,-0.12,
36.300,1.617,,
